word,audio_url_google_tts,audio_url_cambridge,audio_provider,audio_status,notes
abolish,https://www.gstatic.com/dictionary/static/sounds/20200429/abolish_en_us_1.mp3,https://dictionary.cambridge.org/media/english/abolish.mp3,google_tts,pending,Generated from Google TTS
abroad,https://www.gstatic.com/dictionary/static/sounds/20200429/abroad_en_us_1.mp3,https://dictionary.cambridge.org/media/english/abroad.mp3,google_tts,pending,Generated from Google TTS
absence,https://www.gstatic.com/dictionary/static/sounds/20200429/absence_en_us_1.mp3,https://dictionary.cambridge.org/media/english/absence.mp3,google_tts,pending,Generated from Google TTS
abundance,https://www.gstatic.com/dictionary/static/sounds/20200429/abundance_en_us_1.mp3,https://dictionary.cambridge.org/media/english/abundance.mp3,google_tts,pending,Generated from Google TTS
abstract,https://www.gstatic.com/dictionary/static/sounds/20200429/abstract_en_us_1.mp3,https://dictionary.cambridge.org/media/english/abstract.mp3,google_tts,pending,Generated from Google TTS
accelerate,https://www.gstatic.com/dictionary/static/sounds/20200429/accelerate_en_us_1.mp3,https://dictionary.cambridge.org/media/english/accelerate.mp3,google_tts,pending,Generated from Google TTS
accent,https://www.gstatic.com/dictionary/static/sounds/20200429/accent_en_us_1.mp3,https://dictionary.cambridge.org/media/english/accent.mp3,google_tts,pending,Generated from Google TTS
accept,https://www.gstatic.com/dictionary/static/sounds/20200429/accept_en_us_1.mp3,https://dictionary.cambridge.org/media/english/accept.mp3,google_tts,pending,Generated from Google TTS
access,https://www.gstatic.com/dictionary/static/sounds/20200429/access_en_us_1.mp3,https://dictionary.cambridge.org/media/english/access.mp3,google_tts,pending,Generated from Google TTS
accident,https://www.gstatic.com/dictionary/static/sounds/20200429/accident_en_us_1.mp3,https://dictionary.cambridge.org/media/english/accident.mp3,google_tts,pending,Generated from Google TTS
