id,word,reading,part_of_speech,meaning_jp,example_sentence,example_translation,difficulty,frequency,choice1_meaning,choice1_is_correct,choice2_meaning,choice2_is_correct,choice3_meaning,choice3_is_correct,choice4_meaning,choice4_is_correct
74c7a150-1c3f-488a-bb8c-3cbc12a5837a,ability,əˈbɪləti,noun,能力、才能,She has the ability to speak three languages.,彼女は3言語を話す能力があります。,1,5,能力、才能,True,可能性、見込み,False,責任、義務,False,知識、学問,False
5c1ecf5b-844d-42de-975e-c818c427927e,accommodate,əˈkɑmədeɪt,verb,宿泊させる、対応する,The hotel can accommodate 500 guests.,ホテルは500人の客を受け入れることができます。,2,3,宿泊させる、対応する,True,装備する、備える,False,見守る、監視する,False,飾る、装飾する,False
ce7e6fd7-6fa8-4a92-af72-a272c9571e87,achievement,əˈtʃiːvmənt,noun,成果、達成,His academic achievement was impressive.,彼の学業成果は印象的でした。,1,4,成果、達成,True,努力、試み,False,富、資産,False,計画、構想,False
f82c3413-4f64-4779-9096-93bcc6bd265a,acquire,əˈkwaɪər,verb,取得する、習得する,You can acquire new skills through practice.,練習を通じて新しいスキルを習得できます。,2,4,取得する、習得する,True,求める、要求する,False,応じる、答える,False,認める、承認する,False
ec24349a-96b8-4c55-bc32-dcaa8452fa6c,adapt,əˈdæpt,verb,適応する、順応する,People adapt to new environments over time.,人々は時間とともに新しい環境に適応します。,1,4,適応する、順応する,True,採用する、取り入れる,False,装着する、取り付ける,False,調整する、修正する,False
05bcd437-9b4f-4d37-9770-5c740c7ef9e5,adequate,ˈædɪkwət,adjective,十分な、妥当な,The budget is adequate for the project., 予算はプロジェクトに十分です。,2,3,十分な、妥当な,True,適切な、ふさわしい,False,完全な、完璧な,False,素晴らしい、素敵な,False
bb4bd6e2-1853-4515-8c6c-1113e2f7e050,advantage,ədˈvæntɪdʒ,noun,利点、有利な立場,Technology gives us many advantages.,技術は私たちに多くの利点をもたらします。,1,4,利点、有利な立場,True,進歩、改善,False,許可、同意,False,進展、発展,False
6de4c004-376b-4c61-97d6-53a0d62b4342,advise,ədˈvaɪz,verb,忠告する、助言する,I advise you to study harder.,もっと一生懸命勉強することをお勧めします。,1,4,忠告する、助言する,True,宣伝する、告知する,False,激励する、勇気付ける,False,推奨する、提案する,False
468f52bc-c898-466b-8856-c12748fdcaf0,afford,əˈfɔrd,verb,余裕がある、負担できる,Can you afford this car?,この車を買う余裕がありますか？,1,3,余裕がある、負担できる,True,提供する、与える,False,得る、獲得する,False,見つける、発見する,False
c9836c8d-d672-4fd5-b654-b2d13af6dfb8,agreement,əˈɡriːmənt,noun,同意、合意,They reached an agreement on the contract.,彼らは契約について合意に達しました。,1,4,同意、合意,True,議論、討論,False,不満、不平,False,確認、検証,False
