word,audio_url_google_tts,audio_url_cambridge,audio_provider,audio_status,notes
aberration,https://www.gstatic.com/dictionary/static/sounds/20200429/aberration_en_us_1.mp3,https://dictionary.cambridge.org/media/english/aberration.mp3,google_tts,pending,Generated from Google TTS
ambiguous,https://www.gstatic.com/dictionary/static/sounds/20200429/ambiguous_en_us_1.mp3,https://dictionary.cambridge.org/media/english/ambiguous.mp3,google_tts,pending,Generated from Google TTS
analogous,https://www.gstatic.com/dictionary/static/sounds/20200429/analogous_en_us_1.mp3,https://dictionary.cambridge.org/media/english/analogous.mp3,google_tts,pending,Generated from Google TTS
antagonism,https://www.gstatic.com/dictionary/static/sounds/20200429/antagonism_en_us_1.mp3,https://dictionary.cambridge.org/media/english/antagonism.mp3,google_tts,pending,Generated from Google TTS
arbitrary,https://www.gstatic.com/dictionary/static/sounds/20200429/arbitrary_en_us_1.mp3,https://dictionary.cambridge.org/media/english/arbitrary.mp3,google_tts,pending,Generated from Google TTS
articulate,https://www.gstatic.com/dictionary/static/sounds/20200429/articulate_en_us_1.mp3,https://dictionary.cambridge.org/media/english/articulate.mp3,google_tts,pending,Generated from Google TTS
ascertain,https://www.gstatic.com/dictionary/static/sounds/20200429/ascertain_en_us_1.mp3,https://dictionary.cambridge.org/media/english/ascertain.mp3,google_tts,pending,Generated from Google TTS
astonish,https://www.gstatic.com/dictionary/static/sounds/20200429/astonish_en_us_1.mp3,https://dictionary.cambridge.org/media/english/astonish.mp3,google_tts,pending,Generated from Google TTS
attain,https://www.gstatic.com/dictionary/static/sounds/20200429/attain_en_us_1.mp3,https://dictionary.cambridge.org/media/english/attain.mp3,google_tts,pending,Generated from Google TTS
attest,https://www.gstatic.com/dictionary/static/sounds/20200429/attest_en_us_1.mp3,https://dictionary.cambridge.org/media/english/attest.mp3,google_tts,pending,Generated from Google TTS
